,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
990,RMCF,67,08/28/2003,02/27/2020,2.955223880597015,0.12,33.33333333333334,2,2003,0
991,HROWL,3,10/14/2021,04/13/2022,2.0,0.5390625,0.0,0,2021,1
992,APOG,99,10/24/1997,05/09/2022,3.0,0.22,13.63636363636364,3,1997,34
993,VERU,18,01/27/2010,04/28/2014,2.8333333333333335,0.07,20.0,0,2010,12
994,CTVA,12,07/30/2019,05/12/2022,2.8333333333333335,0.14,7.692307692307708,1,2019,3
995,GNTX,76,10/01/2003,07/07/2022,2.960526315789474,0.12,14.285714285714278,2,2003,19
996,GLBS,1,05/23/2012,05/23/2012,2.0,0.085,-46.875,0,2012,12
997,AGNCM,14,03/29/2019,06/30/2022,2.7857142857142856,0.4296875,130.76664876476906,1,2019,3
998,DE,37,06/26/2013,06/29/2022,2.918918918918919,1.13,18.421052631578945,1,2013,9
999,GLDD,21,11/15/2007,12/19/2012,2.9047619047619047,0.25,1090.4761904761904,1,2007,15
1000,BPYPO,11,11/29/2019,05/31/2022,2.727272727272727,0.3984375,0.0,1,2019,3
1001,ATO,36,08/22/2013,05/20/2022,2.9166666666666665,0.68,9.523809523809504,1,2013,9
1002,FDUS,47,09/08/2011,06/09/2022,2.74468085106383,0.43,875.0,1,2011,11
1003,RFIL,39,12/29/2010,03/30/2020,2.923076923076923,0.02,900.0,1,2010,15
1004,CFFI,98,03/19/1998,06/14/2022,2.9693877551020407,0.4,12.5,3,1998,24
1005,LVS,27,09/18/2013,03/17/2020,2.888888888888889,0.79,42.85714285714286,1,2013,9
1006,STRT,26,12/11/2013,03/12/2020,3.0,0.14,9.090909090909093,1,2013,15
1007,PAHC,32,08/29/2014,05/31/2022,2.90625,0.12,20.0,1,2014,8
1008,GPP,27,11/04/2015,05/05/2022,2.888888888888889,0.445,262.5,1,2015,7
1009,FE,36,08/05/2013,05/05/2022,2.9166666666666665,0.39,5.555555555555557,1,2013,9
1010,REFI,2,03/30/2022,06/29/2022,1.5,0.47,17.5,0,2022,0
1011,INDB,111,12/19/1994,06/24/2022,2.990990990990991,0.51,25.0,3,1994,34
1012,BPRN,15,11/02/2018,05/05/2022,2.8,0.25,233.33333333333337,1,2018,4
1013,IRM,38,06/21/2013,06/14/2022,2.8421052631578947,0.618,86.27450980392157,1,2013,9
1014,EVRG,17,05/29/2018,05/19/2022,2.823529411764706,0.572,15.0,1,2018,4
1015,MRBK,9,08/07/2020,05/13/2022,2.3333333333333335,0.2,700.0,1,2020,2
1016,OBCI,8,09/08/2020,06/07/2022,3.0,0.04,50.0,1,2020,8
1017,RMBI,10,06/03/2020,06/01/2022,2.4,0.1,614.2857142857142,1,2020,2
1018,EIX,36,06/26/2013,03/30/2022,2.9166666666666665,0.7,17.464788732394354,1,2013,9
1019,AVGO,47,12/13/2010,06/21/2022,2.9361702127659575,4.1,100.0,1,2010,12
1020,ISSC,1,12/18/2020,12/18/2020,3.0,0.5,-23.07692307692308,1,2020,14
1021,COLM,5,05/12/2021,05/18/2022,2.8,0.3,15.384615384615387,0,2021,16
1022,SYBT,71,12/15/2004,06/16/2022,3.0,0.28,10.0,2,2004,29
1023,SYPR,11,06/18/2012,12/17/2014,3.0,0.02,0.0,0,2012,20
1024,ADES,12,06/26/2017,02/20/2020,2.6666666666666665,0.25,0.0,1,2017,5
1025,HLNE,21,06/22/2017,06/14/2022,2.857142857142857,0.4,29.411764705882376,1,2017,5
1026,WMB,37,06/05/2013,06/09/2022,2.918918918918919,0.425,50.0,1,2013,9
1027,LIVE,4,09/22/2004,07/12/2005,2.5,0.01,0.0,0,2004,0
1028,MRK,36,09/12/2013,06/14/2022,2.9166666666666665,0.69,14.583333333333357,1,2013,9
1029,AMOT,43,11/14/2011,05/18/2022,3.0,0.025,25.0,1,2011,29
1030,ACTG,11,05/01/2013,11/04/2015,2.727272727272727,0.125,0.0,0,2013,9
