,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
144,ENTG,19,10/31/2017,05/03/2022,2.8947368421052633,0.1,25.0,1,2017,5
145,YY,8,09/03/2020,06/22/2022,2.625,0.51,64.51612903225808,1,2020,2
146,GECCO,10,09/14/2021,12/14/2023,2.7,0.371267,1.1236326382233415,0,2021,1
147,IDCC,47,01/10/2011,07/12/2022,2.9361702127659575,0.35,1500.0,1,2011,11
148,BPOP,27,12/18/2015,06/01/2022,3.0,0.55,66.66666666666669,1,2015,34
149,SFBC,36,08/09/2013,05/09/2022,3.0,0.17,200.0,1,2013,14
150,INVA,5,08/26/2014,09/08/2015,2.6,0.25,0.0,0,2014,8
151,CAC,93,10/12/1999,07/14/2022,2.935483870967742,0.4,250.0,3,1999,23
152,GLPI,36,01/09/2014,06/09/2022,2.8055555555555554,0.705,187.5,1,2014,8
153,CSGS,37,07/08/2013,06/15/2022,2.891891891891892,0.265,11.111111111111114,1,2013,9
154,RFIL,39,12/29/2010,03/30/2020,2.923076923076923,0.02,900.0,1,2010,15
155,PEGA,65,06/29/2006,06/30/2022,2.953846153846154,0.03,100.0,2,2006,16
156,PZZA,36,09/04/2013,05/13/2022,2.888888888888889,0.35,55.55555555555554,1,2013,9
157,QCOM,78,03/12/2003,06/01/2022,2.9615384615384617,0.75,42.85714285714283,2,2003,19
158,ATCOL,6,07/14/2021,10/13/2022,2.5,0.445313,0.0,0,2021,1
159,KBAL,135,12/19/1988,06/23/2022,2.977777777777778,0.09,16.666666666666686,4,1988,34
160,BLKB,61,02/10/2005,02/27/2020,2.9508196721311477,0.12,40.0,2,2005,17
161,LCNB,87,12/13/2000,05/31/2022,2.954022988505747,0.2,11.111111111111114,3,2000,0
162,SBNY,16,07/31/2018,04/28/2022,2.8125,0.56,0.0,1,2018,4
163,PTEN,73,05/13/2004,06/01/2022,2.9726027397260273,0.04,100.0,2,2004,18
164,VIRC,4,03/22/2018,12/26/2018,3.0,0.015,0.0,0,2018,23
165,VIA,31,11/25/2014,05/31/2022,2.903225806451613,0.18125,50.79034941763726,1,2014,8
166,RMCF,67,08/28/2003,02/27/2020,2.955223880597015,0.12,33.33333333333334,2,2003,0
167,FWRD,69,05/18/2005,05/25/2022,2.9855072463768115,0.24,42.85714285714283,2,2005,24
168,COHU,102,11/28/1994,02/24/2020,2.9705882352941178,0.06,33.33333333333334,3,1994,28
169,AHPI,2,03/27/1996,06/26/1996,3.0,0.07,0.0,0,1996,29
170,AVT,35,11/29/2013,06/07/2022,3.0,0.26,9.090909090909093,1,2013,22
171,OXLCN,2,07/14/2022,08/16/2022,0.5,0.1484375,0.0,0,2022,0
172,UMPQ,7,11/19/2020,05/13/2022,3.0,0.21,0.0,1,2020,24
173,DAIO,1,03/09/1989,03/09/1989,0.0,4.15,0.0,0,1989,33
174,TROW,136,12/23/1988,06/14/2022,2.911764705882353,1.2,284.6153846153846,4,1988,34
175,ZEUS,66,02/27/2006,05/31/2022,2.9545454545454546,0.09,2525.0,2,2006,16
176,WTFCM,28,09/29/2015,06/30/2022,2.892857142857143,0.41,0.0,1,2015,7
177,ADSK,61,03/05/1990,03/22/2005,3.0,0.015,20.0,2,1990,33
178,WSTG,77,04/03/2003,05/13/2022,2.9740259740259742,0.17,10.0,2,2003,19
179,AMKR,7,12/17/2020,06/06/2022,2.5714285714285716,0.05,25.0,1,2020,2
180,TFSL,31,12/03/2014,06/06/2022,3.0,0.2825,47.05882352941177,1,2014,14
181,CCMP,24,06/21/2016,03/22/2022,3.0,0.46,100.0,1,2016,10
182,HBAN,133,12/06/1988,06/16/2022,2.9774436090225564,0.155,300.0,4,1988,34
183,SMBK,11,11/20/2019,05/12/2022,2.727272727272727,0.07,20.0,1,2019,3
184,WWD,102,01/30/1997,05/16/2022,2.980392156862745,0.19,100.0,3,1997,25
185,OBT,4,09/02/2021,06/01/2022,2.25,0.2,0.0,0,2021,1
186,ARKO,2,03/14/2022,05/27/2022,1.0,0.02,0.0,0,2022,0
187,BFST,17,05/14/2018,05/12/2022,2.823529411764706,0.12,25.0,1,2018,4
188,OXLCL,7,06/14/2021,12/14/2022,2.5714285714285716,0.421875,0.0,0,2021,1
189,ADTN,76,07/29/2003,05/18/2022,2.973684210526316,0.09,12.5,2,2003,19
190,PME,10,05/20/2016,07/30/2018,2.8,0.01,0.0,0,2016,8
191,HIBB,5,07/07/2021,06/08/2022,2.2,0.25,0.0,0,2021,1
192,BKR,20,08/09/2017,05/27/2022,2.85,0.18,5.882352941176464,1,2017,5
193,RAIL,22,05/23/2012,08/15/2017,3.0,0.09,50.0,0,2012,17
194,INBK,39,12/06/2012,06/30/2022,2.923076923076923,0.06,0.0,1,2012,10
195,PWOD,97,12/11/1998,06/06/2022,2.9072164948453607,0.32,126.66666666666669,3,1998,24
196,HNRG,29,12/12/2012,01/30/2020,3.0689655172413794,0.04,0.0,1,2012,12
197,HTLD,76,09/15/2003,06/24/2022,2.960526315789474,0.02,10000.0,2,2003,19
198,HAYN,51,12/01/2009,05/31/2022,2.9215686274509802,0.22,10.0,1,2009,13
199,MANT,42,03/07/2012,06/09/2022,3.0238095238095237,0.41,19.04761904761905,1,2012,11
200,MGPI,23,11/09/2016,05/19/2022,3.0,0.12,2125.0,1,2016,34
201,FCRD,50,08/31/2010,06/14/2022,2.84,0.1,560.0,1,2010,12
202,AMSF,41,03/12/2013,06/16/2022,2.707317073170732,0.31,2000.0,1,2013,9
203,PDCE,5,06/09/2021,06/08/2022,2.4,0.35,416.66666666666674,0,2021,1
204,BKCC,60,09/12/2007,06/15/2022,2.95,0.1,100.0,2,2007,15
205,ARCB,77,05/05/2003,05/10/2022,3.0,0.12,100.0,2,2003,30
